# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS" "-g" "locus_tag" "-a" "../data/reference_sequences/tot_seqs.gff" "-o" "../data/rna_align/counttable_bb.txt" "-M" "../data/rna_align/1_CON_0_1_NEB_DPLEX.bam" "../data/rna_align/3_CON_2_1_NEB_DPLEX.bam" "../data/rna_align/4_CON_2_2_NEB_DPLEX.bam" "../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam" "../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam" "../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam" "../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam" "../data/rna_align/CON_0_1_RZ_DPLEX.bam" "../data/rna_align/CON_0_2_RZ_DPLEX.bam" "../data/rna_align/CON_2_1_RZ_DPLEX.bam" "../data/rna_align/CON_2_2_RZ_DPLEX.bam" "../data/rna_align/PNA_0_1_RZ_DPLEX.bam" "../data/rna_align/PNA_0_2_RZ_DPLEX.bam" "../data/rna_align/PNA_2_1_RZ_DPLEX.bam" "../data/rna_align/PNA_2_2_RZ_DPLEX.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/1_CON_0_1_NEB_DPLEX.bam	../data/rna_align/3_CON_2_1_NEB_DPLEX.bam	../data/rna_align/4_CON_2_2_NEB_DPLEX.bam	../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam	../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam	../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam	../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam	../data/rna_align/CON_0_1_RZ_DPLEX.bam	../data/rna_align/CON_0_2_RZ_DPLEX.bam	../data/rna_align/CON_2_1_RZ_DPLEX.bam	../data/rna_align/CON_2_2_RZ_DPLEX.bam	../data/rna_align/PNA_0_1_RZ_DPLEX.bam	../data/rna_align/PNA_0_2_RZ_DPLEX.bam	../data/rna_align/PNA_2_1_RZ_DPLEX.bam	../data/rna_align/PNA_2_2_RZ_DPLEX.bam
FE838_RS18090	NZ_CP040530.1	4706984	4707877	-	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FE838_RS18095	NZ_CP040530.1	4707910	4708272	-	363	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
FE838_RS18100	NZ_CP040530.1	4708548	4709567	-	1020	46	51	91	36	16	64	37	4	11	12	6	9	2	9	4
FE838_RS18105	NZ_CP040530.1	4709768	4714222	+	4455	280	183	119	526	380	230	124	36	19	38	4	18	19	11	3
FE838_RS18110	NZ_CP040530.1	4714271	4715152	-	882	51	26	16	30	18	25	15	11	3	7	3	20	9	7	1
FE838_RS18115	NZ_CP040530.1	4715176	4715613	-	438	25	24	10	16	7	28	13	4	1	1	3	2	2	1	1
FE838_RS18120	NZ_CP040530.1	4715844	4716995	+	1152	26	36	31	33	18	25	23	33	23	44	8	15	17	17	9
FE838_RS18125	NZ_CP040530.1	4716999	4717742	+	744	81	77	59	55	58	64	60	11	4	5	1	4	1	3	2
FE838_RS18130	NZ_CP040530.1	4717735	4718691	+	957	90	56	53	39	38	64	43	12	10	17	3	4	11	19	1
FE838_RS18135	NZ_CP040530.1	4718817	4720094	-	1278	16	9	9	11	6	11	11	39	13	8	12	2	7	1	6
FE838_RS18140	NZ_CP040530.1	4720117	4720794	-	678	5	11	11	9	5	8	6	6	14	13	1	5	2	4	0
FE838_RS18145	NZ_CP040530.1	4720927	4722420	-	1494	179	324	380	93	79	240	135	36	16	47	40	18	10	36	12
FE838_RS18150	NZ_CP040530.1	4723226	4723870	-	645	304	174	82	248	185	134	82	4	0	1	3	1	2	1	1
FE838_RS18155	NZ_CP040530.1	4724485	4724856	+	372	9	5	6	2	3	6	1	7	5	1	0	3	3	1	0
FE838_RS18160	NZ_CP040530.1	4725346	4725630	-	285	14	14	2	15	6	7	2	0	2	3	0	1	1	0	0
FE838_RS18165	NZ_CP040530.1	4725709	4725933	-	225	211	108	63	108	126	100	48	3	0	0	1	0	0	3	1
FE838_RS18175	NZ_CP040530.1	4726419	4726670	-	252	5	4	1	6	1	3	2	2	6	8	2	4	1	2	1
FE838_RS18180	NZ_CP040530.1	4726694	4726906	-	213	6	7	4	2	5	6	0	4	7	3	4	5	0	5	0
FE838_RS18185	NZ_CP040530.1	4727418	4727579	-	162	5	4	1	0	0	4	1	6	2	0	0	3	1	2	1
FE838_RS18190	NZ_CP040530.1	4727586	4727837	-	252	7	2	2	7	7	1	5	12	10	16	0	1	3	1	0
FE838_RS18195	NZ_CP040530.1	4727849	4727995	-	147	4	0	0	2	0	0	0	6	0	4	1	2	1	4	1
FE838_RS18200	NZ_CP040530.1	4728032	4728496	-	465	27	44	43	5	5	36	18	4	5	3	3	1	2	3	0
FE838_RS18205	NZ_CP040530.1	4728521	4728676	-	156	1	4	9	13	1	2	1	0	0	1	0	1	1	0	0
FE838_RS18210	NZ_CP040530.1	4728713	4728931	-	219	3	12	9	4	5	10	4	1	1	1	1	0	4	2	0
FE838_RS18215	NZ_CP040530.1	4728933	4729124	-	192	13	13	10	3	3	9	2	4	0	0	1	0	1	1	0
FE838_RS18220	NZ_CP040530.1	4729393	4730181	-	789	5	9	8	9	4	7	3	5	1	5	0	2	3	0	1
FE838_RS18225	NZ_CP040530.1	4730413	4731492	-	1080	209	428	546	106	99	482	244	30	18	44	34	11	8	36	15
FE838_RS18230	NZ_CP040530.1	4731512	4731841	-	330	199	487	629	74	59	501	257	18	9	16	26	14	16	23	7
FE838_RS18235	NZ_CP040530.1	4731866	4732339	-	474	246	658	916	124	107	670	296	34	3	50	45	8	6	29	24
FE838_RS18240	NZ_CP040530.1	4733331	4734077	+	747	34	28	15	26	24	35	7	15	24	27	3	7	13	6	2
FE838_RS18245	NZ_CP040530.1	4734133	4734720	-	588	8967	2247	3819	6612	3394	5934	1154	7	14	11	3	11	3	9	1
FE838_RS18250	NZ_CP040530.1	4735066	4736082	-	1017	13	11	14	5	4	9	4	10	38	34	8	6	14	8	0
FE838_RS18255	NZ_CP040530.1	4736797	4738590	-	1794	148	95	46	231	182	93	61	23	4	9	1	14	5	2	2
FE838_RS18260	NZ_CP040530.1	4738666	4739145	-	480	24	19	4	16	10	16	7	7	3	4	1	2	3	1	2
FE838_RS18265	NZ_CP040530.1	4739319	4740143	-	825	23	18	14	33	29	30	11	2	4	7	2	2	6	5	0
FE838_RS18270	NZ_CP040530.1	4740221	4741441	-	1221	96	49	33	75	77	64	28	5	3	8	2	3	2	2	1
FE838_RS18280	NZ_CP040530.1	4742373	4743785	+	1413	68	34	41	54	40	37	20	11	14	19	5	11	15	9	1
FE838_RS18285	NZ_CP040530.1	4743792	4744781	+	990	16	14	11	15	10	20	7	30	107	52	4	23	18	18	0
FE838_RS18290	NZ_CP040530.1	4744786	4745970	+	1185	41	28	14	31	27	20	5	15	6	12	2	5	14	7	7
FE838_RS18295	NZ_CP040530.1	4745954	4747123	+	1170	2327	1143	478	1462	1192	775	581	10	10	11	0	5	0	3	1
FE838_RS18300	NZ_CP040530.1	4747316	4751305	+	3990	189	102	69	158	116	99	60	46	56	59	17	36	55	17	7
FE838_RS18305	NZ_CP040530.1	4751365	4751874	-	510	3808	1977	964	2795	2276	1517	1239	14	14	23	0	8	1	7	3
FE838_RS18310	NZ_CP040530.1	4751887	4753785	-	1899	208	128	50	131	150	104	51	20	14	23	6	16	5	13	17
FE838_RS18315	NZ_CP040530.1	4753802	4754236	-	435	23	12	11	53	33	36	19	64	85	93	14	26	34	34	16
FE838_RS18320	NZ_CP040530.1	4754236	4755639	-	1404	29	31	13	27	26	39	10	30	14	22	4	11	17	21	0
FE838_RS18325	NZ_CP040530.1	4755659	4757167	-	1509	44	25	32	24	30	40	23	12	14	13	4	5	4	4	1
FE838_RS18330	NZ_CP040530.1	4757664	4760102	-	2439	36	39	21	114	60	75	31	26	20	17	8	21	8	4	1
FE838_RS18335	NZ_CP040530.1	4760227	4761201	-	975	60	36	26	46	30	32	12	39	41	54	11	25	22	16	4
FE838_RS18340	NZ_CP040530.1	4761265	4761816	-	552	95	39	13	53	25	39	25	1	4	7	0	0	1	2	0
FE838_RS18345	NZ_CP040530.1	4761911	4762132	-	222	12	7	3	6	3	7	1	0	0	0	0	3	2	3	0
FE838_RS18350	NZ_CP040530.1	4762176	4765310	-	3135	842	426	258	564	439	356	186	61	73	58	10	31	26	7	1
FE838_RS18355	NZ_CP040530.1	4765452	4766540	-	1089	70	84	37	95	78	42	66	37	79	129	15	18	16	17	5
FE838_RS18360	NZ_CP040530.1	4766841	4767461	+	621	35	47	19	22	15	29	11	12	2	5	3	2	6	2	2
FE838_RS18365	NZ_CP040530.1	4767534	4768331	-	798	31	26	12	122	91	56	30	2	5	7	0	0	2	11	2
FE838_RS18370	NZ_CP040530.1	4768478	4769287	+	810	30	10	15	26	24	24	14	184	267	221	70	135	114	157	60
FE838_RS18375	NZ_CP040530.1	4769401	4770129	-	729	49	77	70	20	30	55	25	7	4	3	5	1	6	4	8
FE838_RS18380	NZ_CP040530.1	4770143	4770637	-	495	23	24	45	17	15	28	16	1	1	0	2	0	1	5	0
FE838_RS18385	NZ_CP040530.1	4770639	4771406	-	768	26	56	57	14	11	38	29	14	5	1	3	4	4	3	1
FE838_RS18390	NZ_CP040530.1	4771512	4772765	+	1254	43	35	21	83	51	45	28	12	8	9	1	6	12	2	1
FE838_RS18395	NZ_CP040530.1	4772872	4773123	-	252	4	3	4	7	3	12	2	1	2	0	0	2	3	0	0
FE838_RS18400	NZ_CP040530.1	4773206	4773757	-	552	5	4	4	3	5	5	7	1	2	3	1	1	1	0	0
FE838_RS18405	NZ_CP040530.1	4773934	4777029	-	3096	3736	1832	883	2584	2180	1568	1196	52	72	57	22	24	23	21	11
FE838_RS18410	NZ_CP040530.1	4777097	4778779	-	1683	31	36	29	37	32	48	25	20	26	32	4	24	15	12	1
FE838_RS18415	NZ_CP040530.1	4778843	4783222	-	4380	481	125	84	921	512	524	203	35	22	17	9	22	7	7	11
FE838_RS18420	NZ_CP040530.1	4783519	4783770	-	252	3	2	0	1	6	0	1	2	6	1	0	0	1	2	0
FE838_RS18425	NZ_CP040530.1	4784000	4786648	-	2649	294	194	78	222	187	164	100	10	19	21	13	7	13	6	5
FE838_RS18430	NZ_CP040530.1	4786677	4789088	-	2412	340	151	127	251	140	193	122	46	19	38	6	24	8	10	10
FE838_RS18435	NZ_CP040530.1	4789098	4790531	-	1434	49	26	13	35	38	28	24	25	12	23	4	14	9	1	1
FE838_RS18440	NZ_CP040530.1	4790534	4793851	-	3318	2704	1240	612	1753	1291	939	730	62	37	50	8	40	12	15	7
FE838_RS18445	NZ_CP040530.1	4793975	4795489	-	1515	64	41	17	44	38	28	28	16	18	11	5	6	12	8	2
FE838_RS18450	NZ_CP040530.1	4795653	4798304	-	2652	95	56	38	122	68	103	36	109	88	105	23	55	62	54	11
FE838_RS18455	NZ_CP040530.1	4798425	4799792	-	1368	19	14	13	15	10	16	3	114	48	110	10	41	66	25	26
FE838_RS18460	NZ_CP040530.1	4799789	4800475	-	687	9	11	10	5	3	5	4	2	3	4	2	0	2	3	0
FE838_RS18465	NZ_CP040530.1	4800598	4801014	+	417	5	8	6	4	8	8	5	0	1	4	0	3	0	1	2
FE838_RS18470	NZ_CP040530.1	4801036	4803888	-	2853	341	136	81	223	156	135	89	44	118	88	25	41	26	59	14
FE838_RS18475	NZ_CP040530.1	4803940	4807218	-	3279	130	62	52	96	83	56	55	61	34	45	11	14	23	12	15
FE838_RS18480	NZ_CP040530.1	4807574	4809073	+	1500	92	64	34	160	101	82	33	6	9	9	6	3	11	9	5
FE838_RS18485	NZ_CP040530.1	4809070	4809915	-	846	11	4	8	10	7	10	6	3	1	4	1	1	3	3	0
FE838_RS18490	NZ_CP040530.1	4810129	4814367	-	4239	124	86	45	114	67	75	60	61	93	79	12	55	20	28	8
FE838_RS18495	NZ_CP040530.1	4814498	4817197	-	2700	528	290	110	370	372	289	161	18	14	20	2	13	13	14	10
FE838_RS18500	NZ_CP040530.1	4817417	4819849	+	2433	397	263	226	309	177	343	142	15	5	6	10	12	11	10	3
FE838_RS18505	NZ_CP040530.1	4819889	4820434	+	546	12	12	11	21	17	13	8	4	1	5	2	2	1	1	0
FE838_RS18510	NZ_CP040530.1	4820917	4823325	-	2409	715	535	174	937	355	303	476	12	17	20	10	5	8	9	1
FE838_RS18515	NZ_CP040530.1	4823531	4825735	-	2205	90	41	48	89	45	71	37	20	19	26	4	10	16	6	4
FE838_RS18520	NZ_CP040530.1	4825741	4827600	-	1860	350	153	77	239	168	171	92	66	22	24	6	12	31	5	10
FE838_RS18525	NZ_CP040530.1	4827620	4829716	-	2097	209	105	64	171	165	135	72	22	10	26	4	11	11	5	5
FE838_RS18530	NZ_CP040530.1	4829852	4830586	-	735	56	20	14	38	19	18	10	16	22	27	6	10	19	11	3
FE838_RS18535	NZ_CP040530.1	4831126	4831315	-	190	18	12	9	107	64	40	20	100	20	63	21	58	50	8	10
FE838_RS18540	NZ_CP040530.1	4831323	4832051	-	729	22	11	19	7	4	11	3	229	466	453	89	158	191	204	39
FE838_RS18545	NZ_CP040530.1	4832285	4833076	-	792	255	113	60	161	133	88	67	6	5	6	3	5	1	3	3
FE838_RS18550	NZ_CP040530.1	4833143	4833931	-	789	14	8	5	10	6	13	0	7	3	3	0	1	8	1	5
FE838_RS18555	NZ_CP040530.1	4833937	4834935	-	999	17	20	11	16	12	15	9	3	10	8	0	5	7	5	2
FE838_RS18560	NZ_CP040530.1	4835164	4837632	+	2469	2079	1084	517	1610	1358	1013	718	22	29	28	2	12	15	8	4
FE838_RS18565	NZ_CP040530.1	4837646	4838848	+	1203	33	15	9	25	29	24	7	16	13	13	9	10	9	3	2
FE838_RS18570	NZ_CP040530.1	4838885	4840336	+	1452	215	101	50	149	87	86	40	22	24	16	2	10	11	4	6
FE838_RS18575	NZ_CP040530.1	4840329	4844201	+	3873	90	70	47	127	84	99	52	87	150	132	13	65	48	44	15
FE838_RS18580	NZ_CP040530.1	4844280	4845794	-	1515	50	31	31	40	39	35	14	12	8	19	3	9	5	5	10
FE838_RS18585	NZ_CP040530.1	4846352	4847239	+	888	55	28	35	17	12	47	22	2	4	5	9	6	2	4	1
FE838_RS18590	NZ_CP040530.1	4847227	4848009	-	783	29	19	14	18	23	15	14	3	6	11	1	5	3	0	2
FE838_RS18595	NZ_CP040530.1	4848180	4850141	-	1962	747	446	204	581	434	318	248	18	27	28	5	13	15	12	1
FE838_RS18600	NZ_CP040530.1	4850179	4851516	-	1338	101	53	40	91	63	53	37	36	32	33	6	19	26	14	18
FE838_RS18605	NZ_CP040530.1	4851553	4854414	-	2862	237	140	71	204	159	139	71	58	66	96	8	41	47	12	9
FE838_RS18610	NZ_CP040530.1	4854447	4857776	-	3330	114	85	47	79	87	65	58	24	19	22	3	11	24	5	3
FE838_RS18615	NZ_CP040530.1	4857828	4858757	-	930	51	19	18	35	24	23	18	4	5	19	1	4	13	9	1
FE838_RS18620	NZ_CP040530.1	4859001	4859669	-	669	26	10	18	15	4	17	7	0	1	2	2	1	2	0	0
FE838_RS18625	NZ_CP040530.1	4859743	4861482	-	1740	1143	570	256	844	654	498	288	191	45	95	34	77	84	20	18
FE838_RS18630	NZ_CP040530.1	4861709	4863976	-	2268	226	113	54	179	107	79	58	43	30	35	7	15	33	14	5
FE838_RS18635	NZ_CP040530.1	4863993	4867301	-	3309	65	38	33	73	67	60	19	41	23	45	12	16	27	11	5
FE838_RS18640	NZ_CP040530.1	4867334	4868779	-	1446	106	71	50	86	64	68	29	20	6	22	7	4	16	9	3
FE838_RS18645	NZ_CP040530.1	4869428	4871641	-	2214	119	68	69	120	51	83	38	23	13	25	10	21	25	5	1
FE838_RS18650	NZ_CP040530.1	4871656	4874964	-	3309	1356	665	316	887	689	582	359	126	273	206	25	101	64	78	15
FE838_RS18655	NZ_CP040530.1	4874994	4876469	-	1476	19	14	15	22	22	14	8	11	13	14	1	6	2	5	4
FE838_RS18660	NZ_CP040530.1	4876997	4877890	-	894	62	42	24	68	45	44	34	144	241	297	33	152	78	104	11
FE838_RS18665	NZ_CP040530.1	4878190	4880460	-	2271	81	147	111	86	54	133	58	48	43	71	18	25	33	33	9
FE838_RS18670	NZ_CP040530.1	4880468	4881436	-	969	46	76	84	64	51	60	21	12	4	9	13	1	0	0	1
FE838_RS18675	NZ_CP040530.1	4881489	4882820	-	1332	137	80	74	114	107	88	55	24	17	26	12	8	10	11	0
FE838_RS18680	NZ_CP040530.1	4882919	4885123	-	2205	998	460	256	729	542	445	266	29	25	34	4	20	23	10	1
FE838_RS18685	NZ_CP040530.1	4885290	4886639	-	1350	33	26	26	34	25	32	17	36	151	142	17	38	44	40	13
FE838_RS18690	NZ_CP040530.1	4886656	4887870	-	1215	91	61	36	58	44	67	37	44	121	106	13	33	27	24	6
FE838_RS18695	NZ_CP040530.1	4887887	4888909	-	1023	337	179	84	255	178	171	86	12	3	13	3	4	10	3	1
FE838_RS18700	NZ_CP040530.1	4888936	4890519	-	1584	35	34	34	25	13	37	16	14	6	13	1	3	4	9	2
FE838_RS18705	NZ_CP040530.1	4890528	4893845	-	3318	206	166	155	193	135	207	80	33	22	29	13	15	21	11	10
FE838_RS18710	NZ_CP040530.1	4894214	4895455	+	1242	65	40	25	40	31	44	12	4	10	13	1	11	6	13	2
FE838_RS18715	NZ_CP040530.1	4896256	4898994	+	2739	88	197	162	48	42	118	65	28	21	37	20	4	20	18	7
FE838_RS18720	NZ_CP040530.1	4899015	4900655	+	1641	101	137	160	81	63	125	57	24	12	27	13	14	14	8	6
FE838_RS18725	NZ_CP040530.1	4900687	4901781	+	1095	34	63	55	29	30	64	28	15	18	15	6	12	8	12	1
FE838_RS18730	NZ_CP040530.1	4901800	4902981	+	1182	71	98	80	50	33	77	45	9	10	14	7	0	4	2	2
FE838_RS18735	NZ_CP040530.1	4903246	4905993	+	2748	392	219	110	1207	694	752	237	35	23	26	6	14	24	11	10
FE838_RS18740	NZ_CP040530.1	4906012	4907556	+	1545	33	24	21	28	16	27	11	26	16	13	9	12	19	6	4
FE838_RS18745	NZ_CP040530.1	4907581	4908708	+	1128	22	11	13	25	13	22	15	4	7	9	0	2	6	0	2
FE838_RS18750	NZ_CP040530.1	4908715	4909896	+	1182	17	10	5	23	14	18	7	25	12	30	2	9	13	5	10
FE838_RS18755	NZ_CP040530.1	4909961	4910830	+	870	53	22	9	27	31	15	21	62	7	38	6	18	29	5	4
FE838_RS18760	NZ_CP040530.1	4910961	4913282	+	2322	75	31	32	67	62	47	22	184	78	157	49	90	118	36	22
FE838_RS18765	NZ_CP040530.1	4913342	4914334	-	993	99	91	68	49	51	73	48	30	11	10	12	10	13	7	8
FE838_RS18770	NZ_CP040530.1	4914498	4915106	+	609	9	11	21	11	6	14	5	32	49	103	18	27	23	16	6
FE838_RS18775	NZ_CP040530.1	4915126	4918299	+	3174	346	227	141	1419	1053	493	324	47	63	51	5	24	26	15	8
FE838_RS18780	NZ_CP040530.1	4918299	4918925	+	627	12	11	6	7	11	12	6	9	15	18	2	5	13	4	1
FE838_RS18785	NZ_CP040530.1	4918922	4919731	+	810	23	22	18	18	7	19	13	8	6	13	2	5	2	2	2
FE838_RS18790	NZ_CP040530.1	4919767	4922631	+	2865	8972	4130	2012	5471	4234	3313	1884	47	37	62	11	25	28	20	18
FE838_RS18795	NZ_CP040530.1	4922756	4923889	-	1134	105	77	58	199	119	179	53	27	36	32	8	7	39	16	7
FE838_RS18800	NZ_CP040530.1	4923913	4924842	-	930	135	82	51	134	75	87	49	14	5	15	4	4	10	5	2
FE838_RS18805	NZ_CP040530.1	4925047	4926006	+	960	37	23	28	29	13	16	15	13	9	11	7	9	13	4	0
FE838_RS18810	NZ_CP040530.1	4926248	4927207	+	960	24	17	7	27	11	18	9	17	8	6	1	5	8	2	1
FE838_RS18815	NZ_CP040530.1	4927313	4928266	-	954	30	15	12	19	11	15	9	5	4	4	0	3	3	0	0
FE838_RS18820	NZ_CP040530.1	4928486	4930186	-	1701	21	27	10	19	12	24	13	26	9	22	6	18	15	10	11
FE838_RS18825	NZ_CP040530.1	4930223	4931743	-	1521	217	79	50	178	138	108	68	17	10	30	3	8	12	10	7
FE838_RS18830	NZ_CP040530.1	4931755	4932324	-	570	14	9	6	11	7	13	9	7	5	6	4	8	8	2	0
FE838_RS18835	NZ_CP040530.1	4932339	4934165	-	1827	105	59	48	93	49	80	31	13	11	12	1	6	11	4	4
FE838_RS18840	NZ_CP040530.1	4934179	4934523	-	345	4	2	2	13	4	1	0	16	33	43	7	7	9	14	5
FE838_RS18845	NZ_CP040530.1	4934883	4935425	-	543	23	25	50	14	12	39	22	24	74	48	11	23	20	14	1
FE838_RS18850	NZ_CP040530.1	4935422	4936726	-	1305	104	69	103	67	45	108	52	17	30	41	5	12	14	9	3
FE838_RS18855	NZ_CP040530.1	4936730	4937137	-	408	235	110	112	174	161	168	77	4	0	0	5	1	0	2	4
FE838_RS18860	NZ_CP040530.1	4937610	4937759	+	150	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
FE838_RS18865	NZ_CP040530.1	4937819	4938373	+	555	16	2	8	13	11	8	2	9	4	8	0	3	8	7	3
FE838_RS18870	NZ_CP040530.1	4938476	4939120	+	645	27	19	7	21	12	14	6	49	13	22	16	26	27	11	3
FE838_RS18875	NZ_CP040530.1	4939132	4939767	+	636	79	26	39	55	55	51	33	7	0	8	0	3	0	0	0
FE838_RS18880	NZ_CP040530.1	4939879	4940916	+	1038	1382	623	304	827	676	519	278	336	115	188	54	164	153	69	19
FE838_RS18885	NZ_CP040530.1	4940909	4941688	+	780	9	7	10	13	7	12	3	6	9	20	4	15	7	1	1
FE838_RS18895	NZ_CP040530.1	4942057	4943373	+	1317	67	58	76	66	26	71	39	14	14	10	1	8	3	5	4
FE838_RS18900	NZ_CP040530.1	4943524	4944114	+	591	11	18	18	20	11	23	7	5	3	5	3	2	5	1	1
FE838_RS18905	NZ_CP040530.1	4944111	4944650	-	540	16	21	20	9	2	22	11	9	6	3	9	3	1	0	0
FE838_RS18910	NZ_CP040530.1	4944657	4945106	-	450	13	30	24	13	14	28	5	11	22	10	13	15	6	17	6
FE838_RS18915	NZ_CP040530.1	4945143	4945760	-	618	48	37	27	26	17	18	16	16	14	14	2	5	12	4	0
FE838_RS18920	NZ_CP040530.1	4945849	4947303	+	1455	34	29	29	20	23	27	14	7	10	12	4	1	5	6	2
FE838_RS18925	NZ_CP040530.1	4947427	4948035	+	609	22	21	26	12	7	24	8	20	10	5	4	6	10	9	3
FE838_RS18930	NZ_CP040530.1	4948042	4948641	+	600	23	39	31	41	32	54	24	9	1	12	9	4	2	11	12
FE838_RS18935	NZ_CP040530.1	4949337	4949732	+	396	39	37	63	69	56	66	40	46	15	39	10	26	18	13	8
FE838_RS18940	NZ_CP040530.1	4949828	4951816	+	1989	123	82	106	111	73	124	58	54	32	40	10	10	11	19	8
FE838_RS18945	NZ_CP040530.1	4951818	4953365	+	1548	78	83	94	79	54	118	35	78	93	125	28	52	34	22	12
FE838_RS18950	NZ_CP040530.1	4953377	4954309	+	933	41	64	49	26	21	31	25	6	4	2	6	5	2	3	7
FE838_RS18955	NZ_CP040530.1	4954368	4955051	-	684	11	16	22	10	5	17	8	15	3	13	9	14	6	4	7
FE838_RS18960	NZ_CP040530.1	4955141	4955977	+	837	20	13	15	27	16	18	5	9	5	7	2	4	3	5	0
FE838_RS18965	NZ_CP040530.1	4956275	4958491	-	2217	110	90	72	239	139	110	51	71	109	96	9	31	44	31	9
FE838_RS18970	NZ_CP040530.1	4958555	4958914	-	360	29	19	11	25	7	17	14	1	4	6	2	2	3	4	1
FE838_RS18975	NZ_CP040530.1	4958938	4960164	-	1227	34	20	20	14	14	10	9	15	15	19	1	6	15	9	1
FE838_RS18980	NZ_CP040530.1	4960983	4961294	-	312	12	1	3	3	1	2	2	1	0	0	0	0	0	1	1
FE838_RS18990	NZ_CP040530.1	4961721	4962092	-	372	19	13	5	8	1	20	5	6	3	1	0	3	0	0	0
FE838_RS18995	NZ_CP040530.1	4962317	4962529	-	213	5	1	3	2	4	0	0	4	0	0	0	0	2	0	0
FE838_RS19000	NZ_CP040530.1	4962707	4962883	+	177	16	3	5	4	4	6	1	2	0	0	0	0	0	0	0
FE838_RS19005	NZ_CP040530.1	4963012	4963140	+	129	2	3	4	0	5	7	0	20	3	16	1	1	13	0	2
FE838_RS19010	NZ_CP040530.1	4963351	4963887	-	537	37	33	27	15	15	17	15	3	12	3	3	3	4	6	0
FE838_RS19015	NZ_CP040530.1	4963942	4964751	-	810	19	17	17	26	21	19	9	14	18	8	5	7	8	5	10
FE838_RS19020	NZ_CP040530.1	4964768	4967326	-	2559	435	270	158	377	309	276	179	45	16	41	13	9	8	15	2
FE838_RS19025	NZ_CP040530.1	4967348	4969594	-	2247	123	70	90	99	53	101	53	14	10	11	1	2	7	4	2
FE838_RS19030	NZ_CP040530.1	4969608	4970591	-	984	52	30	38	31	21	41	25	8	4	11	0	7	10	2	2
FE838_RS19035	NZ_CP040530.1	4970657	4971112	-	456	30	21	13	27	10	29	16	7	13	8	0	4	6	6	1
FE838_RS19040	NZ_CP040530.1	4971198	4971626	-	429	145	107	66	100	77	75	41	12	3	3	5	3	18	3	2
FE838_RS19045	NZ_CP040530.1	4971694	4972443	-	750	68	51	50	35	43	50	15	4	2	9	1	2	3	1	0
FE838_RS19050	NZ_CP040530.1	4972457	4973506	-	1050	70	73	70	35	44	69	34	31	15	11	3	5	10	7	7
FE838_RS19055	NZ_CP040530.1	4973535	4974017	-	483	31	19	38	12	11	34	14	2	4	3	0	1	2	1	3
FE838_RS19060	NZ_CP040530.1	4974068	4974715	-	648	50	36	30	23	22	43	19	5	3	4	0	1	2	1	0
FE838_RS19065	NZ_CP040530.1	4974818	4975270	-	453	12	12	18	5	3	21	4	1	4	0	0	2	2	3	0
FE838_RS19070	NZ_CP040530.1	4975432	4975641	-	210	4	8	17	6	2	11	3	1	1	0	1	0	0	0	0
FE838_RS19075	NZ_CP040530.1	4977021	4978023	+	1003	45	18	13	31	19	20	12	112	211	308	40	74	81	92	21
FE838_RS19080	NZ_CP040530.1	4978112	4978537	-	426	27	5	5	21	4	13	4	7	2	2	0	2	3	0	0
FE838_RS19085	NZ_CP040530.1	4978695	4979726	-	1032	47	16	9	22	14	19	5	9	6	7	2	3	2	2	1
FE838_RS19090	NZ_CP040530.1	4979734	4980906	-	1173	112	69	40	136	102	82	52	99	295	209	18	78	71	43	7
FE838_RS19095	NZ_CP040530.1	4981033	4981590	-	558	22	11	16	15	9	31	5	7	6	13	1	3	3	4	2
FE838_RS19100	NZ_CP040530.1	4981688	4982053	-	366	38	17	15	22	22	16	23	4	0	0	1	4	5	0	0
FE838_RS19105	NZ_CP040530.1	4982063	4983679	-	1617	203	97	50	142	103	64	56	47	75	65	16	36	29	25	3
FE838_RS19110	NZ_CP040530.1	4983692	4986388	-	2697	524	336	272	441	284	434	207	40	25	25	8	16	57	12	5
FE838_RS19115	NZ_CP040530.1	4987557	4989164	-	1608	69	31	28	40	29	40	23	41	16	45	10	29	20	6	2
FE838_RS19120	NZ_CP040530.1	4989189	4990343	-	1155	192	80	57	122	96	111	72	8	6	8	0	2	0	3	2
FE838_RS19125	NZ_CP040530.1	4990623	4991543	+	921	11	12	4	15	9	15	3	2	2	12	0	2	8	4	1
FE838_RS19130	NZ_CP040530.1	4991612	4992538	-	927	15	4	9	9	6	11	2	9	11	21	5	3	13	6	3
FE838_RS19135	NZ_CP040530.1	4992546	4993307	-	762	333	142	78	210	159	146	73	3	10	11	2	8	2	2	1
