# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS,sRNA" "-g" "locus_tag" "-a" "../data/reference_sequences/p_copri_wplasmids.gff3" "-o" "../data/rna_align/counttable.txt" "../data/rna_align/CON_1.fq.gz.bam" "../data/rna_align/CON_2.fq.gz.bam" "../data/rna_align/PNA_1.fq.gz.bam" "../data/rna_align/PNA_2.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/CON_1.fq.gz.bam	../data/rna_align/CON_2.fq.gz.bam	../data/rna_align/PNA_1.fq.gz.bam	../data/rna_align/PNA_2.fq.gz.bam
LK433_RS03710	NZ_CP085932.1	915065	916315	+	1251	76	120	167	76
LK433_RS03715	NZ_CP085932.1	916414	917295	+	882	54	66	144	53
LK433_RS03720	NZ_CP085932.1	917623	919329	+	1707	3	8	15	4
LK433_RS03725	NZ_CP085932.1	919763	920116	-	354	10	20	39	15
LK433_RS03735	NZ_CP085932.1	920724	921839	+	1116	449	846	1723	982
LK433_RS03740	NZ_CP085932.1	921880	923157	+	1278	1064	2143	4084	2835
LK433_RS03745	NZ_CP085932.1	923408	924457	-	1050	140	324	372	195
LK433_RS03750	NZ_CP085932.1	924435	924875	-	441	37	51	58	38
LK433_RS03755	NZ_CP085932.1	925005	927866	-	2862	1724	3358	1184	410
LK433_RS03760	NZ_CP085932.1	927972	929534	+	1563	8224	15568	8170	4558
LK433_RS03765	NZ_CP085932.1	929568	930206	+	639	1935	3784	2454	1215
LK433_RS03770	NZ_CP085932.1	930300	931682	+	1383	724	1460	945	434
LK433_RS03775	NZ_CP085932.1	931921	934743	+	2823	8600	15988	13050	8789
LK433_RS03780	NZ_CP085932.1	935477	936352	+	876	474	940	915	450
LK433_RS03785	NZ_CP085932.1	936528	938897	-	2370	2303	4299	1176	672
LK433_RS03790	NZ_CP085932.1	939084	939233	+	150	2	6	26	4
LK433_RS03795	NZ_CP085932.1	939220	940929	+	1710	445	810	609	179
LK433_RS03800	NZ_CP085932.1	942227	944491	-	2265	15862	30126	4466	3196
LK433_RS03805	NZ_CP085932.1	944889	945785	+	897	472	878	1094	596
LK433_RS03810	NZ_CP085932.1	945913	946662	-	750	867	1651	2466	1314
LK433_RS03815	NZ_CP085932.1	946755	947114	-	360	374	737	1022	588
LK433_RS03820	NZ_CP085932.1	947270	948124	-	855	400	854	2960	1369
LK433_RS03825	NZ_CP085932.1	948325	950262	-	1938	22989	43359	54996	43615
LK433_RS03830	NZ_CP085932.1	950593	951624	-	1032	3482	6359	5630	3503
LK433_RS03835	NZ_CP085932.1	951644	952885	-	1242	3659	6826	5502	3702
LK433_RS03840	NZ_CP085932.1	952924	953532	-	609	623	1265	1382	653
LK433_RS03845	NZ_CP085932.1	953756	954136	-	381	120	197	236	103
LK433_RS03850	NZ_CP085932.1	954341	954964	+	624	24	72	126	38
LK433_RS03855	NZ_CP085932.1	955360	955833	+	474	4918	10276	11992	4377
LK433_RS03860	NZ_CP085932.1	955952	956767	-	816	295	664	816	279
LK433_RS03865	NZ_CP085932.1	958093	958905	-	813	196	335	481	189
LK433_RS03870	NZ_CP085932.1	958912	959541	-	630	103	159	204	75
LK433_RS03875	NZ_CP085932.1	959520	960056	-	537	137	248	368	170
LK433_RS03880	NZ_CP085932.1	960094	960492	-	399	87	195	178	88
LK433_RS03885	NZ_CP085932.1	961372	962607	-	1236	175	401	494	210
LK433_RS03890	NZ_CP085932.1	963066	963764	-	699	174	256	353	110
LK433_RS03895	NZ_CP085932.1	963776	964252	-	477	70	139	179	70
LK433_RS03900	NZ_CP085932.1	964388	964756	+	369	27	28	79	29
LK433_RS03905	NZ_CP085932.1	964913	965377	+	465	249	407	454	140
LK433_RS03910	NZ_CP085932.1	965448	967406	-	1959	763	1419	1022	565
LK433_RS03915	NZ_CP085932.1	967419	967808	-	390	107	215	138	67
LK433_RS03920	NZ_CP085932.1	967827	969041	-	1215	510	1010	865	408
LK433_RS03925	NZ_CP085932.1	969260	969940	-	681	87	184	243	83
LK433_RS03930	NZ_CP085932.1	970454	971500	-	1047	451	738	914	629
LK433_RS03935	NZ_CP085932.1	971466	971846	-	381	308	598	767	455
LK433_RS03940	NZ_CP085932.1	972321	973958	-	1638	342	599	779	227
LK433_RS03945	NZ_CP085932.1	974187	977162	+	2976	107	178	581	153
LK433_RS03950	NZ_CP085932.1	977234	978961	+	1728	80	152	315	85
LK433_RS03955	NZ_CP085932.1	978989	981091	+	2103	116	199	419	146
LK433_RS03960	NZ_CP085932.1	981158	982885	+	1728	146	214	504	149
LK433_RS03965	NZ_CP085932.1	983049	983366	+	318	98	169	414	111
LK433_RS03970	NZ_CP085932.1	983457	983615	+	159	111	162	301	151
LK433_RS03975	NZ_CP085932.1	983789	984922	-	1134	247	456	634	255
LK433_RS03980	NZ_CP085932.1	985152	986831	+	1680	101	142	328	119
LK433_RS03985	NZ_CP085932.1	986953	987861	-	909	95	175	240	101
LK433_RS03990	NZ_CP085932.1	988073	988753	+	681	21	55	103	33
LK433_RS03995	NZ_CP085932.1	989031	991421	-	2391	220	545	565	179
LK433_RS04000	NZ_CP085932.1	991427	993364	-	1938	184	459	335	108
LK433_RS04005	NZ_CP085932.1	993409	993813	-	405	15	24	65	13
LK433_RS04010	NZ_CP085932.1	993785	994051	+	267	5	11	39	12
LK433_RS04015	NZ_CP085932.1	994428	995780	+	1353	969	1847	369	112
LK433_RS04020	NZ_CP085932.1	995806	996474	+	669	375	808	187	59
LK433_RS04025	NZ_CP085932.1	996688	997953	+	1266	463	972	716	347
LK433_RS04030	NZ_CP085932.1	998039	998956	+	918	8	11	13	5
LK433_RS04035	NZ_CP085932.1	999114	999419	+	306	27	50	117	55
LK433_RS04040	NZ_CP085932.1	999490	1000623	-	1134	361	664	720	285
LK433_RS04045	NZ_CP085932.1	1000862	1002196	-	1335	142	379	327	87
LK433_RS04050	NZ_CP085932.1	1002733	1004103	+	1371	1288	2579	1220	770
LK433_RS04055	NZ_CP085932.1	1004388	1006274	-	1887	214	404	302	125
LK433_RS04060	NZ_CP085932.1	1006519	1006974	-	456	35	91	77	18
LK433_RS04065	NZ_CP085932.1	1007920	1009470	+	1551	1176	2688	366	136
LK433_RS04070	NZ_CP085932.1	1009501	1009842	+	342	138	297	56	13
LK433_RS04075	NZ_CP085932.1	1009858	1011531	+	1674	1147	2252	429	91
LK433_RS04080	NZ_CP085932.1	1011552	1015421	+	3870	2089	4164	774	229
LK433_RS04085	NZ_CP085932.1	1015444	1017420	+	1977	843	1571	271	138
LK433_RS04090	NZ_CP085932.1	1017443	1018090	+	648	1215	2570	250	91
LK433_RS04095	NZ_CP085932.1	1018114	1018719	+	606	1000	1797	258	65
LK433_RS04100	NZ_CP085932.1	1018740	1019345	+	606	882	1566	159	66
LK433_RS04105	NZ_CP085932.1	1019505	1019834	+	330	171	425	46	21
LK433_RS04110	NZ_CP085932.1	1019836	1022685	+	2850	1972	4026	584	227
LK433_RS04115	NZ_CP085932.1	1022766	1022930	+	165	55	96	46	9
LK433_RS04120	NZ_CP085932.1	1022932	1023480	+	549	123	260	77	25
LK433_RS04125	NZ_CP085932.1	1023461	1024174	+	714	152	382	125	56
LK433_RS04130	NZ_CP085932.1	1024209	1025189	+	981	237	502	169	64
LK433_RS04135	NZ_CP085932.1	1025416	1026588	-	1173	297	617	503	190
LK433_RS04140	NZ_CP085932.1	1026723	1027187	-	465	100	254	247	119
LK433_RS04145	NZ_CP085932.1	1027142	1028368	-	1227	205	439	481	242
LK433_RS04150	NZ_CP085932.1	1028645	1029139	+	495	39	42	133	38
LK433_RS04155	NZ_CP085932.1	1029225	1029428	+	204	6	11	25	11
LK433_RS04160	NZ_CP085932.1	1029466	1033857	+	4392	275	453	979	271
LK433_RS04165	NZ_CP085932.1	1033921	1034616	+	696	37	66	135	38
LK433_RS04170	NZ_CP085932.1	1034673	1035263	+	591	38	32	103	29
LK433_RS04175	NZ_CP085932.1	1035303	1035647	+	345	11	29	64	15
LK433_RS04180	NZ_CP085932.1	1035846	1036328	+	483	17	51	81	23
LK433_RS04185	NZ_CP085932.1	1036364	1038538	+	2175	128	251	456	142
LK433_RS04190	NZ_CP085932.1	1038760	1040208	+	1449	333	708	590	281
LK433_RS04195	NZ_CP085932.1	1040292	1040990	-	699	191	348	302	122
LK433_RS04200	NZ_CP085932.1	1041022	1041360	-	339	254	415	261	106
LK433_RS04205	NZ_CP085932.1	1041425	1042648	-	1224	42	91	96	58
LK433_RS04210	NZ_CP085932.1	1042910	1044315	-	1406	104	176	233	102
LK433_RS04215	NZ_CP085932.1	1044778	1047144	-	2367	575	1015	921	444
LK433_RS04220	NZ_CP085932.1	1047264	1048823	-	1560	449	825	835	344
LK433_RS04225	NZ_CP085932.1	1049038	1050324	+	1287	201	444	566	331
LK433_RS04230	NZ_CP085932.1	1050882	1052012	+	1131	214	458	445	153
LK433_RS04235	NZ_CP085932.1	1052293	1052454	+	162	210	432	232	68
LK433_RS04240	NZ_CP085932.1	1052477	1053058	+	582	485	995	653	188
LK433_RS04245	NZ_CP085932.1	1053405	1054853	+	1449	40	95	86	34
LK433_RS04250	NZ_CP085932.1	1054937	1055659	-	723	774	1659	981	412
LK433_RS04255	NZ_CP085932.1	1055667	1056005	-	339	146	350	218	67
LK433_RS04260	NZ_CP085932.1	1056178	1057464	+	1287	51	161	193	96
LK433_RS04265	NZ_CP085932.1	1057995	1058747	-	753	13	21	28	9
LK433_RS04270	NZ_CP085932.1	1058982	1059866	-	885	28	35	127	27
LK433_RS04275	NZ_CP085932.1	1059926	1060747	-	822	16	40	78	36
LK433_RS04280	NZ_CP085932.1	1060836	1061201	-	366	11	19	49	11
LK433_RS04285	NZ_CP085932.1	1061217	1061564	-	348	14	26	42	13
LK433_RS04290	NZ_CP085932.1	1061577	1061915	-	339	13	22	20	9
LK433_RS04295	NZ_CP085932.1	1061930	1063294	-	1365	64	96	258	76
LK433_RS04300	NZ_CP085932.1	1063297	1063593	-	297	9	8	42	14
LK433_RS04305	NZ_CP085932.1	1063597	1064397	-	801	24	61	77	26
LK433_RS04310	NZ_CP085932.1	1064424	1065320	-	897	25	69	148	38
LK433_RS04315	NZ_CP085932.1	1066002	1066508	-	507	19	56	126	30
LK433_RS04320	NZ_CP085932.1	1066517	1067002	-	486	18	34	67	24
LK433_RS04325	NZ_CP085932.1	1067064	1067903	-	840	34	70	141	28
LK433_RS04330	NZ_CP085932.1	1067944	1069185	-	1242	48	74	197	52
LK433_RS04335	NZ_CP085932.1	1069225	1069707	-	483	25	19	46	23
LK433_RS04340	NZ_CP085932.1	1070020	1070166	-	147	0	4	2	1
LK433_RS04345	NZ_CP085932.1	1070179	1070733	+	555	152	313	290	126
LK433_RS04350	NZ_CP085932.1	1070718	1071941	-	1224	193	423	414	188
LK433_RS04355	NZ_CP085932.1	1072862	1073035	-	174	13	11	46	12
LK433_RS04360	NZ_CP085932.1	1073258	1074550	+	1293	273	552	634	303
LK433_RS04365	NZ_CP085932.1	1074719	1075666	-	948	796	1431	1129	737
LK433_RS04370	NZ_CP085932.1	1075768	1077063	-	1296	1169	1921	1785	1050
LK433_RS04375	NZ_CP085932.1	1077350	1078624	-	1275	191	343	465	161
LK433_RS04380	NZ_CP085932.1	1078834	1080003	-	1170	38	86	181	63
LK433_RS04385	NZ_CP085932.1	1080009	1081140	-	1132	38	86	181	56
LK433_RS04390	NZ_CP085932.1	1081485	1082531	-	1047	23	62	45	34
LK433_RS04395	NZ_CP085932.1	1082497	1082877	-	381	11	11	8	6
LK433_RS04400	NZ_CP085932.1	1083434	1084327	-	894	488	912	1416	781
LK433_RS04405	NZ_CP085932.1	1084529	1085815	-	1287	70	161	224	81
LK433_RS04410	NZ_CP085932.1	1085989	1086435	-	447	531	985	1772	670
LK433_RS04415	NZ_CP085932.1	1086501	1087094	-	594	432	824	1122	622
LK433_RS04420	NZ_CP085932.1	1087109	1088026	+	918	5	7	10	4
LK433_RS04425	NZ_CP085932.1	1088242	1088742	-	501	14965	28901	21039	8053
LK433_RS04430	NZ_CP085932.1	1088899	1090479	+	1581	106	209	349	103
LK433_RS04435	NZ_CP085932.1	1090564	1091508	-	945	419	741	602	198
LK433_RS04440	NZ_CP085932.1	1091685	1092500	+	816	281	488	1991	1115
LK433_RS04445	NZ_CP085932.1	1092517	1093515	+	999	286	471	1337	734
LK433_RS04450	NZ_CP085932.1	1093772	1095229	-	1458	1043	1993	1576	694
LK433_RS04455	NZ_CP085932.1	1095260	1096603	-	1344	1531	2746	1766	851
LK433_RS04460	NZ_CP085932.1	1096600	1098492	-	1893	2657	4933	2799	1555
LK433_RS04465	NZ_CP085932.1	1098671	1100077	+	1407	1490	2753	1391	690
LK433_RS04470	NZ_CP085932.1	1100165	1100659	+	495	171	304	237	66
LK433_RS04475	NZ_CP085932.1	1100776	1100991	-	216	86	182	125	47
LK433_RS04480	NZ_CP085932.1	1101073	1101708	+	636	174	272	276	98
LK433_RS04485	NZ_CP085932.1	1101897	1105421	+	3525	227	539	556	189
LK433_RS04490	NZ_CP085932.1	1105434	1106846	+	1413	103	180	241	104
LK433_RS04495	NZ_CP085932.1	1106885	1108072	+	1188	107	184	184	80
LK433_RS04500	NZ_CP085932.1	1108224	1109507	+	1284	635	1164	868	396
LK433_RS04505	NZ_CP085932.1	1110179	1111078	-	900	2059	4147	4813	2599
LK433_RS04510	NZ_CP085932.1	1111539	1112153	+	615	209	400	245	68
LK433_RS04515	NZ_CP085932.1	1112172	1119710	+	7539	1772	3139	2076	769
LK433_RS04520	NZ_CP085932.1	1119835	1121424	-	1590	3338	6253	6558	3278
LK433_RS04525	NZ_CP085932.1	1121658	1122062	+	405	123	286	358	155
LK433_RS04530	NZ_CP085932.1	1122093	1123373	+	1281	574	1137	1172	584
LK433_RS04535	NZ_CP085932.1	1123427	1124680	+	1254	565	1097	1114	645
LK433_RS04540	NZ_CP085932.1	1124716	1125756	+	1041	564	1068	1165	485
LK433_RS04545	NZ_CP085932.1	1125838	1126380	-	543	7227	13778	19429	7542
LK433_RS04550	NZ_CP085932.1	1126538	1128166	-	1629	930	1764	2543	1279
LK433_RS04555	NZ_CP085932.1	1128389	1128907	+	519	80	272	358	115
LK433_RS04560	NZ_CP085932.1	1129116	1130036	+	921	141	294	308	146
LK433_RS04565	NZ_CP085932.1	1130129	1131046	+	918	77	155	179	87
LK433_RS04570	NZ_CP085932.1	1131188	1131610	+	423	63	104	103	54
LK433_RS04575	NZ_CP085932.1	1131683	1132384	+	702	90	178	228	76
LK433_RS04580	NZ_CP085932.1	1132381	1133181	+	801	122	248	280	80
LK433_RS04585	NZ_CP085932.1	1133242	1134171	+	930	98	203	196	77
LK433_RS04590	NZ_CP085932.1	1134209	1135147	+	939	91	179	238	80
LK433_RS04595	NZ_CP085932.1	1135176	1136129	+	954	66	109	179	56
LK433_RS04600	NZ_CP085932.1	1136159	1137205	-	1047	206	352	439	292
LK433_RS04605	NZ_CP085932.1	1137171	1137551	-	381	1	5	10	10
LK433_RS04610	NZ_CP085932.1	1137638	1138021	+	384	10	17	33	17
LK433_RS04615	NZ_CP085932.1	1138018	1138854	+	837	12	33	87	26
LK433_RS04620	NZ_CP085932.1	1140148	1141197	-	1050	29	80	75	12
LK433_RS04625	NZ_CP085932.1	1141175	1141615	-	441	23	43	36	12
LK433_RS04630	NZ_CP085932.1	1141833	1141967	-	135	16	21	58	16
LK433_RS04635	NZ_CP085932.1	1142051	1142431	+	381	235	530	526	439
LK433_RS04640	NZ_CP085932.1	1142397	1143443	+	1047	445	857	992	743
LK433_RS04645	NZ_CP085932.1	1143470	1143676	-	207	3	4	23	5
LK433_RS04650	NZ_CP085932.1	1143797	1144108	+	312	9	27	50	25
LK433_RS04655	NZ_CP085932.1	1144184	1144624	+	441	12	17	31	8
LK433_RS04660	NZ_CP085932.1	1144602	1145648	+	1047	1	8	5	0
LK433_RS04665	NZ_CP085932.1	1145808	1146404	+	597	20	26	65	19
LK433_RS04670	NZ_CP085932.1	1146415	1146846	+	432	9	20	50	8
LK433_RS04675	NZ_CP085932.1	1146970	1148103	+	1134	27	55	129	27
LK433_RS04680	NZ_CP085932.1	1148081	1149187	+	1107	37	54	106	38
LK433_RS04685	NZ_CP085932.1	1149189	1150091	+	903	19	32	77	15
LK433_RS04690	NZ_CP085932.1	1150060	1151535	-	1476	196	403	966	322
LK433_RS04695	NZ_CP085932.1	1151877	1152188	+	312	3	10	27	10
LK433_RS04700	NZ_CP085932.1	1152190	1153875	+	1686	60	105	229	65
LK433_RS04705	NZ_CP085932.1	1153872	1154750	+	879	30	37	81	21
LK433_RS04710	NZ_CP085932.1	1154755	1155306	+	552	23	32	78	37
LK433_RS04715	NZ_CP085932.1	1155387	1157093	+	1707	94	155	341	142
LK433_RS04720	NZ_CP085932.1	1158039	1159100	+	1062	41	56	143	52
LK433_RS04725	NZ_CP085932.1	1159124	1159759	+	636	28	36	122	34
LK433_RS04730	NZ_CP085932.1	1159834	1161135	+	1302	55	103	248	62
LK433_RS04735	NZ_CP085932.1	1161287	1163224	+	1938	37	99	52	28
LK433_RS04740	NZ_CP085932.1	1163294	1164049	+	756	64	136	227	96
LK433_RS04745	NZ_CP085932.1	1164165	1165589	+	1425	110	250	450	185
LK433_RS04750	NZ_CP085932.1	1166048	1166251	+	204	78	205	238	104
LK433_RS04755	NZ_CP085932.1	1166260	1166519	+	260	96	250	219	117
LK433_RS04760	NZ_CP085932.1	1166878	1167225	+	348	121	235	244	166
LK433_RS04765	NZ_CP085932.1	1167227	1167424	+	198	50	82	128	67
LK433_RS04770	NZ_CP085932.1	1167480	1167860	+	381	0	0	0	1
LK433_RS04775	NZ_CP085932.1	1167826	1168872	+	1047	7	13	12	13
LK433_RS04780	NZ_CP085932.1	1169065	1169403	+	339	14	35	40	17
LK433_RS04785	NZ_CP085932.1	1169514	1171421	+	1908	263	630	849	395
LK433_RS04790	NZ_CP085932.1	1171666	1171833	+	168	135	350	392	183
LK433_RS04795	NZ_CP085932.1	1171833	1172345	+	513	221	415	586	168
LK433_RS04800	NZ_CP085932.1	1172824	1172979	+	156	85	246	328	129
LK433_RS04805	NZ_CP085932.1	1173371	1174561	+	1191	73	165	345	111
LK433_RS04810	NZ_CP085932.1	1174754	1176691	-	1938	7	13	18	10
LK433_RS04815	NZ_CP085932.1	1176880	1178505	+	1626	70	181	337	97
LK433_RS04820	NZ_CP085932.1	1178760	1180949	-	2190	318	547	639	341
LK433_RS04825	NZ_CP085932.1	1180994	1182226	-	1233	118	259	267	136
LK433_RS04830	NZ_CP085932.1	1182289	1183128	-	840	39	90	135	37
LK433_RS04835	NZ_CP085932.1	1183583	1183939	+	357	32	66	187	39
LK433_RS04840	NZ_CP085932.1	1184041	1185309	+	1269	50	100	245	97
LK433_RS04845	NZ_CP085932.1	1185683	1186600	-	918	58	82	76	36
LK433_RS04850	NZ_CP085932.1	1187597	1187812	+	216	89	207	176	63
LK433_RS04855	NZ_CP085932.1	1187827	1188552	+	726	750	1675	1424	534
LK433_RS04860	NZ_CP085932.1	1188625	1189227	-	603	1099	2139	2032	648
LK433_RS04865	NZ_CP085932.1	1189228	1189452	-	225	147	350	219	130
LK433_RS04870	NZ_CP085932.1	1189623	1190807	+	1185	313	747	554	171
LK433_RS04875	NZ_CP085932.1	1190877	1191464	-	588	32	53	92	22
LK433_RS04880	NZ_CP085932.1	1191609	1191875	-	267	13	18	43	16
LK433_RS04885	NZ_CP085932.1	1191883	1192260	-	378	2	11	23	10
LK433_RS04890	NZ_CP085932.1	1192220	1192666	-	447	14	15	30	14
LK433_RS04895	NZ_CP085932.1	1192648	1192941	-	294	6	13	21	6
LK433_RS04900	NZ_CP085932.1	1193084	1194790	+	1707	1	1	0	1
LK433_RS04905	NZ_CP085932.1	1195280	1195528	+	249	67	183	357	104
LK433_RS04910	NZ_CP085932.1	1195619	1195825	+	207	29	73	182	70
LK433_RS04915	NZ_CP085932.1	1196037	1198118	-	2082	136	256	495	169
LK433_RS04920	NZ_CP085932.1	1198353	1198799	-	447	42	71	114	41
LK433_RS04925	NZ_CP085932.1	1198851	1199186	-	336	10	17	37	4
LK433_RS04930	NZ_CP085932.1	1199283	1202000	+	2718	984	1810	4430	2037
LK433_RS04935	NZ_CP085932.1	1202010	1203443	+	1434	542	1011	2242	1220
LK433_RS04940	NZ_CP085932.1	1203445	1204605	+	1161	218	457	927	422
LK433_RS04945	NZ_CP085932.1	1204626	1205978	+	1353	202	435	905	417
LK433_RS04950	NZ_CP085932.1	1206052	1206855	+	804	33	59	115	33
LK433_RS04955	NZ_CP085932.1	1207017	1208174	-	1158	120	255	636	253
LK433_RS04960	NZ_CP085932.1	1208377	1208691	+	315	101	231	405	169
LK433_RS04965	NZ_CP085932.1	1208655	1209956	-	1302	377	711	1055	404
LK433_RS04970	NZ_CP085932.1	1210211	1211350	+	1140	244	531	572	231
LK433_RS04975	NZ_CP085932.1	1211566	1212180	+	615	315	596	1024	386
LK433_RS04980	NZ_CP085932.1	1212702	1213862	-	1161	852	1441	800	339
LK433_RS04985	NZ_CP085932.1	1214294	1216285	+	1992	784	1434	1136	563
LK433_RS04990	NZ_CP085932.1	1216475	1217761	+	1287	0	2	5	2
LK433_RS04995	NZ_CP085932.1	1218225	1218581	+	357	20	28	107	20
LK433_RS05000	NZ_CP085932.1	1218748	1220010	+	1263	56	87	208	73
LK433_RS05005	NZ_CP085932.1	1220213	1220932	+	720	33	50	110	66
LK433_RS05010	NZ_CP085932.1	1221431	1223218	+	1788	95	167	332	102
LK433_RS05015	NZ_CP085932.1	1223373	1227896	+	4524	306	595	979	274
LK433_RS05020	NZ_CP085932.1	1227996	1229339	+	1344	100	185	273	80
LK433_RS05025	NZ_CP085932.1	1229378	1229626	-	249	5	12	45	6
LK433_RS05030	NZ_CP085932.1	1229591	1229731	+	141	3	2	25	5
LK433_RS05060	NZ_CP085932.1	1235808	1236974	+	1167	193	482	441	196
LK433_RS05065	NZ_CP085932.1	1237079	1237612	+	534	3849	8538	4885	2388
LK433_RS05070	NZ_CP085932.1	1237626	1237811	+	186	2950	5228	2732	1224
LK433_RS05075	NZ_CP085932.1	1237811	1238824	+	1014	17441	32996	15274	7315
LK433_RS05080	NZ_CP085932.1	1238970	1239851	+	882	1371	2869	1375	740
LK433_RS05085	NZ_CP085932.1	1240059	1241372	+	1314	2443	4923	2649	1630
LK433_RS05090	NZ_CP085932.1	1241412	1241810	+	399	919	1685	1470	694
LK433_RS05095	NZ_CP085932.1	1241880	1242653	-	774	863	1525	2765	1029
LK433_RS05100	NZ_CP085932.1	1242657	1243403	-	747	456	848	1323	503
LK433_RS05105	NZ_CP085932.1	1243537	1244361	+	825	1055	2260	2112	732
LK433_RS05110	NZ_CP085932.1	1244494	1245852	+	1359	19424	36087	14941	6316
LK433_RS05115	NZ_CP085932.1	1245987	1246649	+	663	1518	3253	1808	832
LK433_RS05120	NZ_CP085932.1	1246715	1247944	+	1230	2724	5443	2455	1425
LK433_RS05125	NZ_CP085932.1	1248021	1250201	+	2181	3695	7235	3136	1816
LK433_RS05130	NZ_CP085932.1	1250305	1251789	+	1485	9333	18400	16040	9173
LK433_RS05135	NZ_CP085932.1	1251804	1252790	+	987	1443	2959	2242	1341
LK433_RS05140	NZ_CP085932.1	1252810	1254264	+	1455	3444	6989	7121	3356
LK433_RS05145	NZ_CP085932.1	1254315	1255916	+	1602	1838	3796	3232	1487
LK433_RS05150	NZ_CP085932.1	1255959	1257827	+	1869	1842	3681	2975	1592
LK433_RS05155	NZ_CP085932.1	1257979	1259151	+	1173	16409	33510	11598	6134
LK433_RS05170	NZ_CP085932.1	1259816	1261162	+	1347	6822	12985	12527	7148
LK433_RS05175	NZ_CP085932.1	1261257	1262690	+	1434	10337	19064	13031	8407
LK433_RS05180	NZ_CP085932.1	1262846	1264273	+	1428	5068	10055	6611	4485
LK433_RS05185	NZ_CP085932.1	1265554	1266459	-	906	657	1479	1114	384
LK433_RS05190	NZ_CP085932.1	1267228	1270248	+	3021	1885	3555	3459	1941
LK433_RS05195	NZ_CP085932.1	1270344	1270922	+	579	78	127	136	97
LK433_RS05200	NZ_CP085932.1	1270928	1272073	+	1146	239	415	656	274
LK433_RS05205	NZ_CP085932.1	1272260	1273345	+	1086	2058	4072	1229	594
LK433_RS05210	NZ_CP085932.1	1273345	1274634	+	1290	415	829	373	201
LK433_RS05215	NZ_CP085932.1	1274828	1275007	+	180	230	437	687	249
LK433_RS05220	NZ_CP085932.1	1275077	1275307	+	231	195	381	585	363
LK433_RS05225	NZ_CP085932.1	1275311	1276399	+	1089	1123	2031	2746	1668
LK433_RS05230	NZ_CP085932.1	1276458	1277222	+	765	873	1760	2092	1237
LK433_RS05235	NZ_CP085932.1	1277277	1277822	+	546	622	1236	1937	1030
LK433_RS05240	NZ_CP085932.1	1278081	1278362	+	282	174	335	368	158
LK433_RS05245	NZ_CP085932.1	1278984	1280927	+	1944	52	106	209	65
LK433_RS05250	NZ_CP085932.1	1280924	1283278	+	2355	117	190	449	131
LK433_RS05255	NZ_CP085932.1	1283316	1283531	+	216	9	19	42	15
LK433_RS05260	NZ_CP085932.1	1283570	1285570	+	2001	61	132	319	118
LK433_RS05265	NZ_CP085932.1	1285599	1287182	+	1584	89	153	393	92
LK433_RS05270	NZ_CP085932.1	1287414	1287815	-	402	330	586	1148	346
LK433_RS05275	NZ_CP085932.1	1287866	1288033	-	168	50	102	176	69
LK433_RS05280	NZ_CP085932.1	1288316	1289158	-	843	1022	1750	2469	1467
LK433_RS05285	NZ_CP085932.1	1289143	1289901	-	759	658	1300	1786	1013
LK433_RS05290	NZ_CP085932.1	1290076	1290282	-	207	5	3	36	12
LK433_RS05295	NZ_CP085932.1	1290539	1290901	+	363	74	126	197	115
LK433_RS05300	NZ_CP085932.1	1290979	1292232	+	1254	291	555	955	491
LK433_RS05305	NZ_CP085932.1	1292260	1292427	+	168	52	104	153	104
LK433_RS05310	NZ_CP085932.1	1292708	1293517	+	810	65	136	239	113
LK433_RS05315	NZ_CP085932.1	1293639	1294670	-	1032	61	116	205	73
LK433_RS05320	NZ_CP085932.1	1294799	1296052	-	1254	124	203	352	130
LK433_RS05325	NZ_CP085932.1	1296102	1297601	-	1500	131	205	317	145
LK433_RS05330	NZ_CP085932.1	1297707	1298582	-	876	170	311	328	140
LK433_RS05335	NZ_CP085932.1	1299161	1301302	-	2142	663	1238	1050	474
LK433_RS05340	NZ_CP085932.1	1301459	1302739	-	1281	272	538	541	238
LK433_RS05345	NZ_CP085932.1	1302917	1304503	+	1587	891	1617	1170	527
LK433_RS05350	NZ_CP085932.1	1304979	1305134	+	156	44	81	93	21
LK433_RS05355	NZ_CP085932.1	1305305	1305490	+	186	18	67	61	24
LK433_RS05360	NZ_CP085932.1	1306119	1306964	-	846	133	221	111	51
LK433_RS05365	NZ_CP085932.1	1306976	1308958	-	1983	698	1366	286	105
LK433_RS05370	NZ_CP085932.1	1309075	1309857	-	783	7892	14812	752	340
LK433_RS05375	NZ_CP085932.1	1309890	1310876	-	987	1734	3239	337	102
LK433_RS05380	NZ_CP085932.1	1311578	1311769	+	192	27	78	49	29
LK433_RS05385	NZ_CP085932.1	1312004	1313017	+	1014	5752	10774	5310	2500
LK433_RS05390	NZ_CP085932.1	1313124	1314344	+	1221	741	1543	970	515
LK433_RS05395	NZ_CP085932.1	1314418	1314879	+	462	204	372	219	142
LK433_RS05400	NZ_CP085932.1	1314892	1316541	+	1650	727	1312	1079	501
LK433_RS05405	NZ_CP085932.1	1316819	1318297	+	1479	3329	6785	4439	2672
LK433_RS05410	NZ_CP085932.1	1318496	1319500	-	1005	3354	6552	12672	7523
LK433_RS05415	NZ_CP085932.1	1319701	1320165	-	465	313	747	4918	2866
